id,source_code
36,https://github.com/coin-or/CHiPPS-ALPS
60,https://github.com/acl2/acl2
122,https://github.com/Chaste/Chaste
154,https://github.com/homalg-project/Conley
283,https://github.com/linbox-team/fflas-ffpack
320,https://github.com/gap-system/gap
411,https://github.com/homalg-project/homalg_project
419,https://github.com/cran/hsmm
438,https://github.com/itapmd/imd
522,https://github.com/linbox-team/linbox
522,https://github.com/linbox-team/linbox
551,https://sourceforge.net/projects/matcont/files/
559,https://github.com/twist-numerical/matslise
569,https://github.com/NanoComp/meep
577,https://github.com/niklasso/minisat/
580,https://github.com/cran/mixAK
610,https://github.com/numericalalgorithmsgroup
612,https://github.com/jorgenio/nctuns
675,https://nojhan.github.io/paradiseo/#LargeChoice
705,https://github.com/janverschelde/PHCpack
714,https://github.com/timimin/plif
724,https://github.com/polymake/polymake
764,https://github.com/MetaScale/quaff
825,https://github.com/sagemath/sage
866,https://github.com/Singular/Singular
932,https://github.com/cran/Surveillance
940,https://github.com/sympy/sympy.github.com
1011,https://github.com/cenit/jburkardt/blob/master/toms743/toms743.md
1011,https://github.com/cenit/jburkardt/blob/master/toms743/toms743.md
1059,https://github.com/auto-07p
1088,https://github.com/Argonne-National-Laboratory/PIPS
1218,https://smlfamily.github.io/
1263,https://github.com/cran/Rainbow
1818,https://github.com/cran/StatDataML
1948,https://github.com/nojhan/paradiseo
1991,https://gitlab.com/firefly-library/firefly
2023,https://github.com/tinyos/tinyos-main
2074,https://github.com/PSORLab/McCormick.jl
2229,https://github.com/ludwig-cf/ludwig
2023,https://github.com/tinyos/tinyos-main
2074,https://github.com/PSORLab/McCormick.jl
2229,https://github.com/ludwig-cf/ludwig
2301,https://github.com/SRI-CSL/Bliss
2589,https://github.com/JUrban/MPTP2
2589,https://github.com/JUrban/MPTP2
2614,https://github.com/dtompkins/ubcsat
2735,https://github.com/cran/CLUES
2902,https://github.com/apik/diana
2916,https://github.com/bbopt/nomad
3032,https://github.com/hexhex/
3046,https://github.com/cran/TOPSIS
3097,https://github.com/fernando-demingo/ACORD-Algorithm
3032,https://github.com/hexhex/
3046,https://github.com/cran/TOPSIS
3097,https://github.com/fernando-demingo/ACORD-Algorithm
3177,https://github.com/MaximeBreden/DPCM
3294,https://github.com/pmodels/mpich
3370,https://github.com/cran/MCDA
3454,https://github.com/flaport/fdtd
3482,https://github.com/MOEAFramework/MOEAFramework
3516,https://github.com/dealii/dealii/
4014,https://github.com/sivantoledo/taucs/
4023,https://github.com/primme/primme
4028,https://github.com/trilinos/Trilinos
3516,https://github.com/dealii/dealii/
4014,https://github.com/sivantoledo/taucs/
4023,https://github.com/primme/primme
4028,https://github.com/trilinos/Trilinos
4034,https://github.com/cran/AWS
4081,https://github.com/RaRe-Technologies/gensim
